epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.43877,1.66789,3.9355,1.20427,0,0,0,0,0,267.058,0,6e-05,6e-05,6e-05
2,14.5528,1.58769,3.79602,1.14816,0,0,0,0,0,267.439,0,0.00011713,0.00011713,0.00011713
3,21.8044,1.5685,3.57248,1.14385,0,0,0,0,0,267.755,0,0.0001604,0.0001604,0.0001604
4,29.2928,1.59936,3.41175,1.12962,0,0,0,0,0,267.985,0,0.00018981,0.00018981,0.00018981
5,36.1482,1.66518,3.33436,1.1608,0,0,0,0,0,268.329,0,0.00020536,0.00020536,0.00020536
6,43.0025,1.60575,3.06673,1.13712,0,0,0,0,0,268.642,0,0.00020705,0.00020705,0.00020705
7,49.8657,1.67437,2.94539,1.14463,0,0,0,0,0,269.28,0,0.00019488,0.00019488,0.00019488
8,56.6487,1.66681,2.74915,1.14751,0,0,0,0,0,269.668,0,0.00016885,0.00016885,0.00016885
9,63.8479,1.71686,2.6548,1.13491,0,0,0,0,0,270.529,0,0.00012896,0.00012896,0.00012896
10,70.5996,1.66609,2.52072,1.12741,0,0,0,0,0,271.583,0,7.521e-05,7.521e-05,7.521e-05
