epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8574,1.62148,3.76075,1.16094,0,0,0,0,0,774.714,0,6e-05,6e-05,6e-05
2,31.2123,1.47362,2.09741,1.10804,0,0,0,0,0,10480.1,0,0.00011713,0.00011713,0.00011713
3,46.6103,1.39479,1.71921,1.09982,0,0,0,0,0,15616.6,0,0.0001604,0.0001604,0.0001604
4,61.6072,1.40054,1.32448,1.08409,0,0,0,0,0,4249.68,0,0.00018981,0.00018981,0.00018981
5,76.6123,1.42664,1.28087,1.10342,0,0,0,0,0,3041.24,0,0.00020536,0.00020536,0.00020536
6,92.5047,1.40823,1.17005,1.08288,0,0,0,0,0,5034.24,0,0.00020705,0.00020705,0.00020705
7,107.319,1.4105,1.10499,1.07855,0,0,0,0,0,2106.88,0,0.00019488,0.00019488,0.00019488
8,122.196,1.43023,1.12028,1.12002,0,0,0,0,0,2005.34,0,0.00016885,0.00016885,0.00016885
9,137.191,1.41035,1.06183,1.08283,0,0,0,0,0,2864.13,0,0.00012896,0.00012896,0.00012896
10,152.074,1.39709,1.06485,1.09895,0,0,0,0,0,2919.17,0,7.521e-05,7.521e-05,7.521e-05
