epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.9103,1.56991,3.27817,1.11735,0,0,0,0,0,8991.66,0,6e-05,6e-05,6e-05
2,108.76,1.38652,1.09946,1.04806,0,0,0,0,0,9471.5,0,0.00012571,0.00012571,0.00012571
3,163.972,1.37782,0.93263,1.08133,0,0,0,0,0,11603.2,0,0.0001868,0.0001868,0.0001868
4,219.498,1.31356,0.87486,1.07248,0,0,0,0,0,6565.23,0,0.00024327,0.00024327,0.00024327
5,274.992,1.30028,0.86053,1.05744,0,0,0,0,0,6591.64,0,0.00029512,0.00029512,0.00029512
6,329.258,1.26271,0.71937,1.06933,0,0,0,0,0,7352.63,0,0.00034235,0.00034235,0.00034235
7,384.583,1.35249,0.80283,1.10664,0,0,0,0,0,31493,0,0.00038496,0.00038496,0.00038496
8,439.974,1.23826,0.6863,1.05023,0,0,0,0,0,452187,0,0.00042295,0.00042295,0.00042295
9,494.59,1.30996,0.74174,1.11445,0,0,0,0,0,103985,0,0.00045632,0.00045632,0.00045632
10,550.055,1.28012,0.68621,1.07261,0,0,0,0,0,166447,0,0.00048507,0.00048507,0.00048507
11,604.545,1.27442,0.66012,1.04923,0,0,0,0,0,4297.03,0,0.0005092,0.0005092,0.0005092
12,658.709,1.24576,0.62213,1.03456,0,0,0,0,0,2907.35,0,0.00052871,0.00052871,0.00052871
13,713.128,1.21506,0.6325,1.05281,0,0,0,0,0,2341.56,0,0.0005436,0.0005436,0.0005436
14,768.155,1.19792,0.59871,1.00086,0,0,0,0,0,2698.01,0,0.00055387,0.00055387,0.00055387
15,823.04,1.23449,0.59738,1.03139,0,0,0,0,0,2708.68,0,0.000538,0.000538,0.000538
16,878.051,1.20164,0.61167,1.03463,0,0,0,0,0,1984.2,0,0.000505,0.000505,0.000505
17,932.831,1.18613,0.60613,1.017,0,0,0,0,0,2728.79,0,0.000472,0.000472,0.000472
18,986.987,1.17024,0.57192,1.01232,0,0,0,0,0,2331.84,0,0.000439,0.000439,0.000439
19,1041.38,1.14888,0.5569,0.99005,0,0,0,0,0,2843.12,0,0.000406,0.000406,0.000406
20,1095.68,1.10678,0.53774,1.01618,0,0,0,0,0,2004.55,0,0.000373,0.000373,0.000373
21,1150.72,1.08029,0.52494,1.02139,0,0,0,0,0,2245.91,0,0.00034,0.00034,0.00034
22,1204.58,1.13264,0.55902,1.01764,0,0,0,0,0,2525.96,0,0.000307,0.000307,0.000307
23,1259.06,1.0647,0.52661,1.01271,0,0,0,0,0,2228.73,0,0.000274,0.000274,0.000274
24,1314.24,1.04932,0.52727,1.01182,0,0,0,0,0,2895.3,0,0.000241,0.000241,0.000241
25,1369.31,1.04997,0.50838,0.99745,0,0,0,0,0,2859.89,0,0.000208,0.000208,0.000208
26,1423.75,0.99177,0.48523,0.98657,0,0,0,0,0,2299.47,0,0.000175,0.000175,0.000175
27,1477.47,1.01185,0.4818,0.97907,0,0,0,0,0,2654.74,0,0.000142,0.000142,0.000142
28,1531.71,0.95994,0.47247,0.96167,0,0,0,0,0,2834.13,0,0.000109,0.000109,0.000109
29,1585.72,0.96678,0.4701,0.95798,0,0,0,0,0,2732.03,0,7.6e-05,7.6e-05,7.6e-05
30,1639.48,0.97627,0.46644,0.97877,0,0,0,0,0,2591.85,0,4.3e-05,4.3e-05,4.3e-05
