epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7566,1.52734,3.73117,1.18532,0,0,0,0,0,1716.9,0,6e-05,6e-05,6e-05
2,67.2071,1.34955,2.00019,1.13231,0,0,0,0,0,8555.27,0,0.00011713,0.00011713,0.00011713
3,101.39,1.41091,1.33154,1.08485,0,0,0,0,0,2979.67,0,0.0001604,0.0001604,0.0001604
4,135.682,1.36804,1.1432,1.05675,0,0,0,0,0,7077.89,0,0.00018981,0.00018981,0.00018981
5,169.343,1.34555,1.13801,1.10336,0,0,0,0,0,2639.33,0,0.00020536,0.00020536,0.00020536
6,202.535,1.36708,1.0612,1.07314,0,0,0,0,0,3223.07,0,0.00020705,0.00020705,0.00020705
7,235.426,1.3622,0.99078,1.07179,0,0,0,0,0,3783.16,0,0.00019488,0.00019488,0.00019488
8,269.096,1.34222,0.96898,1.08932,0,0,0,0,0,4020.36,0,0.00016885,0.00016885,0.00016885
9,302.454,1.32634,0.92646,1.0563,0,0,0,0,0,3170.48,0,0.00012896,0.00012896,0.00012896
10,335.696,1.34073,0.8959,1.08554,0,0,0,0,0,2563.08,0,7.521e-05,7.521e-05,7.521e-05
