epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5855,1.47898,3.15418,1.17257,0,0,0,0,0,6782.36,0,6e-05,6e-05,6e-05
2,149.149,1.3199,1.61695,1.14546,0,0,0,0,0,1681.49,0,0.00011713,0.00011713,0.00011713
3,224.055,1.34398,1.20807,1.12695,0,0,0,0,0,7771.01,0,0.0001604,0.0001604,0.0001604
4,299.786,1.33045,1.12536,1.12549,0,0,0,0,0,2690.55,0,0.00018981,0.00018981,0.00018981
5,373.871,1.369,1.10362,1.14929,0,0,0,0,0,4086.66,0,0.00020536,0.00020536,0.00020536
6,448.217,1.29869,0.89037,1.11603,0,0,0,0,0,3513.6,0,0.00020705,0.00020705,0.00020705
7,523.343,1.29418,0.8841,1.08696,0,0,0,0,0,4424.6,0,0.00019488,0.00019488,0.00019488
8,598.22,1.28149,0.93097,1.12322,0,0,0,0,0,3839.47,0,0.00016885,0.00016885,0.00016885
9,674.071,1.30527,0.84603,1.10301,0,0,0,0,0,1456.52,0,0.00012896,0.00012896,0.00012896
10,748.389,1.29349,0.83304,1.10889,0,0,0,0,0,1566.07,0,7.521e-05,7.521e-05,7.521e-05
