epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7299,1.70665,3.44232,1.29542,0,0,0,0,0,9707.17,0,6e-05,6e-05,6e-05
2,133.744,1.44383,1.26656,1.07246,0,0,0,0,0,19514.8,0,0.000127426,0.000127426,0.000127426
3,200.372,1.41374,0.94785,1.08181,0,0,0,0,0,9545.64,0,0.00019208,0.00019208,0.00019208
4,267.852,1.3615,0.90582,1.05041,0,0,0,0,0,5522.57,0,0.000253962,0.000253962,0.000253962
5,333.75,1.33998,0.83841,1.0359,0,0,0,0,0,2945.19,0,0.000313072,0.000313072,0.000313072
6,400.823,1.2662,0.78252,1.04936,0,0,0,0,0,2144.37,0,0.00036941,0.00036941,0.00036941
7,467.505,1.37349,0.81659,1.07143,0,0,0,0,0,2615.88,0,0.000422976,0.000422976,0.000422976
8,534.155,1.2584,0.74576,1.01847,0,0,0,0,0,2564.8,0,0.00047377,0.00047377,0.00047377
9,600.152,1.33572,0.75884,1.06999,0,0,0,0,0,1750.01,0,0.000521792,0.000521792,0.000521792
10,666.823,1.31308,0.78308,1.05337,0,0,0,0,0,3095.88,0,0.000567042,0.000567042,0.000567042
11,732.839,1.29501,0.84162,1.01951,0,0,0,0,0,1551.85,0,0.00060952,0.00060952,0.00060952
12,798.867,1.23786,0.73125,1.01141,0,0,0,0,0,1579.34,0,0.000649226,0.000649226,0.000649226
13,865.29,1.27067,0.75574,1.03211,0,0,0,0,0,2065.64,0,0.00068616,0.00068616,0.00068616
14,931.729,1.18963,0.72601,0.97552,0,0,0,0,0,12362.1,0,0.000720322,0.000720322,0.000720322
15,998.233,1.27551,0.74002,1.0221,0,0,0,0,0,3369.95,0,0.0007228,0.0007228,0.0007228
16,1063.69,1.28938,0.69706,1.05019,0,0,0,0,0,3111.19,0,0.000703,0.000703,0.000703
17,1129.94,1.26473,0.68253,1.02585,0,0,0,0,0,3193.72,0,0.0006832,0.0006832,0.0006832
18,1195.68,1.29478,0.72476,1.0458,0,0,0,0,0,3075.66,0,0.0006634,0.0006634,0.0006634
19,1260.63,1.36681,0.72132,1.04902,0,0,0,0,0,2620.84,0,0.0006436,0.0006436,0.0006436
20,1326.98,1.30997,0.69369,1.0473,0,0,0,0,0,2903.93,0,0.0006238,0.0006238,0.0006238
21,1392.94,1.19155,0.64211,1.01483,0,0,0,0,0,3062.92,0,0.000604,0.000604,0.000604
22,1459.25,1.22327,0.63214,0.99396,0,0,0,0,0,3125.41,0,0.0005842,0.0005842,0.0005842
23,1525.71,1.19917,0.63091,1.00291,0,0,0,0,0,3245.84,0,0.0005644,0.0005644,0.0005644
24,1593.04,1.11769,0.59164,0.97854,0,0,0,0,0,2123.17,0,0.0005446,0.0005446,0.0005446
25,1660.17,1.14653,0.61182,0.98222,0,0,0,0,0,2293.06,0,0.0005248,0.0005248,0.0005248
26,1726.02,1.12441,0.60094,0.9958,0,0,0,0,0,2385.12,0,0.000505,0.000505,0.000505
27,1791.76,1.11879,0.58306,1.00775,0,0,0,0,0,1825.71,0,0.0004852,0.0004852,0.0004852
28,1859.11,1.13197,0.59082,0.97596,0,0,0,0,0,2773.95,0,0.0004654,0.0004654,0.0004654
29,1926.3,1.13638,0.616,0.98092,0,0,0,0,0,2844.5,0,0.0004456,0.0004456,0.0004456
30,1992.67,1.14209,0.58682,0.95554,0,0,0,0,0,2391.06,0,0.0004258,0.0004258,0.0004258
31,2059.4,1.1096,0.56618,0.96437,0,0,0,0,0,2442.77,0,0.000406,0.000406,0.000406
32,2125.89,1.13057,0.5672,0.97568,0,0,0,0,0,2135.74,0,0.0003862,0.0003862,0.0003862
33,2190.46,1.08068,0.5724,0.95863,0,0,0,0,0,2321.73,0,0.0003664,0.0003664,0.0003664
34,2255.96,1.1091,0.56925,0.95955,0,0,0,0,0,2580.35,0,0.0003466,0.0003466,0.0003466
35,2322.67,1.07598,0.54477,0.96859,0,0,0,0,0,2241.31,0,0.0003268,0.0003268,0.0003268
36,2388.82,1.06473,0.53561,0.95003,0,0,0,0,0,2382.84,0,0.000307,0.000307,0.000307
37,2454.26,1.01916,0.537,0.94651,0,0,0,0,0,2680.99,0,0.0002872,0.0002872,0.0002872
38,2520.85,1.01537,0.51822,0.95156,0,0,0,0,0,2403.98,0,0.0002674,0.0002674,0.0002674
39,2589.55,1.046,0.52492,0.93932,0,0,0,0,0,2180.88,0,0.0002476,0.0002476,0.0002476
40,2659.21,1.0674,0.5306,0.94157,0,0,0,0,0,2543.46,0,0.0002278,0.0002278,0.0002278
41,2725.88,1.00474,0.5314,0.94511,0,0,0,0,0,2482.86,0,0.000208,0.000208,0.000208
42,2793.08,0.96693,0.49709,0.93242,0,0,0,0,0,2103.16,0,0.0001882,0.0001882,0.0001882
43,2860.66,0.97987,0.49315,0.9494,0,0,0,0,0,2142.25,0,0.0001684,0.0001684,0.0001684
44,2928.04,0.96425,0.49065,0.94449,0,0,0,0,0,2539.57,0,0.0001486,0.0001486,0.0001486
45,2996.45,0.981,0.5035,0.92038,0,0,0,0,0,2588.12,0,0.0001288,0.0001288,0.0001288
46,3062.63,0.92138,0.46442,0.9147,0,0,0,0,0,2412.87,0,0.000109,0.000109,0.000109
47,3128.86,1.01436,0.48898,0.94695,0,0,0,0,0,2291.35,0,8.92e-05,8.92e-05,8.92e-05
48,3195.48,0.92691,0.4628,0.93221,0,0,0,0,0,2401.94,0,6.94e-05,6.94e-05,6.94e-05
49,3262.29,0.96894,0.46792,0.92143,0,0,0,0,0,2487.03,0,4.96e-05,4.96e-05,4.96e-05
50,3328.47,0.88887,0.43571,0.91499,0,0,0,0,0,2606.43,0,2.98e-05,2.98e-05,2.98e-05
