epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.87313,1.79694,4.01126,1.21728,0,0,0,0,0,267.01,0,6e-05,6e-05,6e-05
2,17.4524,1.61223,3.71373,1.13345,0,0,0,0,0,267.432,0,0.00012571,0.00012571,0.00012571
3,26.2794,1.58942,3.14151,1.09571,0,0,0,0,0,267.976,0,0.0001868,0.0001868,0.0001868
4,35.1489,1.60889,2.69281,1.10334,0,0,0,0,0,268.499,0,0.00024327,0.00024327,0.00024327
5,43.6558,1.61468,2.24327,1.08721,0,0,0,0,0,269.675,0,0.00029512,0.00029512,0.00029512
6,52.723,1.69921,1.90831,1.1576,0,0,0,0,0,271.359,0,0.00034235,0.00034235,0.00034235
7,61.2398,1.67904,1.56845,1.13638,0,0,0,0,0,273.885,0,0.00038496,0.00038496,0.00038496
8,69.8305,1.70459,1.41605,1.14257,0,0,0,0,0,274.711,0,0.00042295,0.00042295,0.00042295
9,78.64,1.57705,1.28829,1.10114,0,0,0,0,0,279.68,0,0.00045632,0.00045632,0.00045632
10,87.4636,1.53595,1.2381,1.10587,0,0,0,0,0,283.416,0,0.00048507,0.00048507,0.00048507
11,95.9683,1.55892,1.23581,1.12011,0,0,0,0,0,288.021,0,0.0005092,0.0005092,0.0005092
12,104.464,1.47787,1.15358,1.10521,0,0,0,0,0,312.447,0,0.00052871,0.00052871,0.00052871
13,113.554,1.57489,1.14479,1.08264,0,0,0,0,0,320.316,0,0.0005436,0.0005436,0.0005436
14,122.109,1.54091,1.2248,1.08291,0,0,0,0,0,341.544,0,0.00055387,0.00055387,0.00055387
15,130.747,1.52099,1.1402,1.06532,0,0,0,0,0,394.425,0,0.000538,0.000538,0.000538
16,139.296,1.54518,1.10017,1.06962,0,0,0,0,0,441.813,0,0.000505,0.000505,0.000505
17,148.38,1.46743,1.07964,1.0499,0,0,0,0,0,484.036,0,0.000472,0.000472,0.000472
18,156.959,1.43388,1.05165,1.0499,0,0,0,0,0,648.208,0,0.000439,0.000439,0.000439
19,165.69,1.45325,1.03159,1.05084,0,0,0,0,0,839.428,0,0.000406,0.000406,0.000406
20,174.392,1.39951,1.03541,1.05693,0,0,0,0,0,936.804,0,0.000373,0.000373,0.000373
21,183.133,1.33805,1.15608,1.04831,0,0,0,0,0,970.177,0,0.00034,0.00034,0.00034
22,191.782,1.38849,1.11323,1.06892,0,0,0,0,0,1011.8,0,0.000307,0.000307,0.000307
23,200.536,1.31184,1.05973,1.03352,0,0,0,0,0,955.945,0,0.000274,0.000274,0.000274
24,209.051,1.32181,1.01576,1.03367,0,0,0,0,0,1007.77,0,0.000241,0.000241,0.000241
25,217.585,1.33128,0.96725,1.01658,0,0,0,0,0,1103.91,0,0.000208,0.000208,0.000208
26,226.131,1.27378,0.95882,1.01916,0,0,0,0,0,1333.42,0,0.000175,0.000175,0.000175
27,234.643,1.28869,1.03989,1.02729,0,0,0,0,0,1480.49,0,0.000142,0.000142,0.000142
28,243.149,1.27714,0.96064,1.01562,0,0,0,0,0,1621.9,0,0.000109,0.000109,0.000109
29,251.919,1.28842,0.93078,1.03212,0,0,0,0,0,1658.38,0,7.6e-05,7.6e-05,7.6e-05
30,260.462,1.26482,0.96272,1.02787,0,0,0,0,0,1726.77,0,4.3e-05,4.3e-05,4.3e-05
