epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.7972,1.52805,2.95947,1.14426,0,0,0,0,0,23265.7,0,6e-05,6e-05,6e-05
2,195.499,1.33506,1.04616,1.05079,0,0,0,0,0,11331.1,0,0.00012571,0.00012571,0.00012571
3,294.782,1.33701,0.82794,1.07664,0,0,0,0,0,55752.9,0,0.0001868,0.0001868,0.0001868
4,394.294,1.29646,0.75307,1.07593,0,0,0,0,0,1.28515e+06,0,0.00024327,0.00024327,0.00024327
5,494.897,1.27583,0.74221,1.07013,0,0,0,0,0,70210,0,0.00029512,0.00029512,0.00029512
6,593.899,1.24712,0.75035,1.09144,0,0,0,0,0,71861.3,0,0.00034235,0.00034235,0.00034235
7,693.699,1.3626,0.83871,1.16106,0,0,0,0,0,281726,0,0.00038496,0.00038496,0.00038496
8,793.209,1.19696,0.74019,1.04853,0,0,0,0,0,9128.99,0,0.00042295,0.00042295,0.00042295
9,891.882,1.28248,0.85129,1.13805,0,0,0,0,0,9447.64,0,0.00045632,0.00045632,0.00045632
10,989.614,1.24086,0.76259,1.08126,0,0,0,0,0,8840.8,0,0.00048507,0.00048507,0.00048507
11,1088,1.20574,0.64257,1.03185,0,0,0,0,0,8138.47,0,0.0005092,0.0005092,0.0005092
12,1187.08,1.19679,0.60231,1.02886,0,0,0,0,0,3294.06,0,0.00052871,0.00052871,0.00052871
13,1286.1,1.19136,0.59315,1.0532,0,0,0,0,0,3885.51,0,0.0005436,0.0005436,0.0005436
14,1384.26,1.1575,0.5756,1.01218,0,0,0,0,0,3015.04,0,0.00055387,0.00055387,0.00055387
15,1482.82,1.15962,0.56706,1.02642,0,0,0,0,0,3575.05,0,0.000538,0.000538,0.000538
16,1580.99,1.15483,0.55972,1.04254,0,0,0,0,0,2481.57,0,0.000505,0.000505,0.000505
17,1679.38,1.15791,0.55123,1.02201,0,0,0,0,0,3295.13,0,0.000472,0.000472,0.000472
18,1777.59,1.13392,0.5423,1.02334,0,0,0,0,0,2435.08,0,0.000439,0.000439,0.000439
19,1875.83,1.18746,0.56127,1.01984,0,0,0,0,0,2918.94,0,0.000406,0.000406,0.000406
20,1974.16,1.16036,0.54414,1.04607,0,0,0,0,0,2276.69,0,0.000373,0.000373,0.000373
21,2072.59,1.08576,0.51529,1.05152,0,0,0,0,0,1778.46,0,0.00034,0.00034,0.00034
22,2171.87,1.11643,0.52059,1.03215,0,0,0,0,0,2615.66,0,0.000307,0.000307,0.000307
23,2270.25,1.01667,0.49941,1.01934,0,0,0,0,0,2198.27,0,0.000274,0.000274,0.000274
24,2368.95,1.03199,0.49958,1.02532,0,0,0,0,0,2515.13,0,0.000241,0.000241,0.000241
25,2467.1,1.01449,0.47084,1.00033,0,0,0,0,0,2938.52,0,0.000208,0.000208,0.000208
26,2565.63,0.95071,0.44586,0.98255,0,0,0,0,0,2626.34,0,0.000175,0.000175,0.000175
27,2665.04,0.93875,0.43983,0.97215,0,0,0,0,0,2469.42,0,0.000142,0.000142,0.000142
28,2763.38,0.90742,0.42562,0.95379,0,0,0,0,0,2731.25,0,0.000109,0.000109,0.000109
29,2862,0.9062,0.42663,0.95304,0,0,0,0,0,2818.19,0,7.6e-05,7.6e-05,7.6e-05
30,2960.46,0.9273,0.43206,0.9805,0,0,0,0,0,2808.65,0,4.3e-05,4.3e-05,4.3e-05
