epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1013,1.4829,3.61074,1.12318,0,0,0,0,0,3412.76,0,6e-05,6e-05,6e-05
2,83.188,1.35545,1.60922,1.11929,0,0,0,0,0,3411.18,0,0.00011713,0.00011713,0.00011713
3,125.452,1.36817,1.25024,1.10005,0,0,0,0,0,2827.23,0,0.0001604,0.0001604,0.0001604
4,166.237,1.31792,1.04428,1.06982,0,0,0,0,0,3172.6,0,0.00018981,0.00018981,0.00018981
5,207.721,1.33789,1.04405,1.11271,0,0,0,0,0,3447.97,0,0.00020536,0.00020536,0.00020536
6,249.158,1.33028,0.92908,1.09428,0,0,0,0,0,2143.11,0,0.00020705,0.00020705,0.00020705
7,290.851,1.32551,0.92666,1.08379,0,0,0,0,0,2820.24,0,0.00019488,0.00019488,0.00019488
8,332.705,1.33927,0.92273,1.12405,0,0,0,0,0,1552.18,0,0.00016885,0.00016885,0.00016885
9,373.307,1.33698,0.89517,1.09797,0,0,0,0,0,2331.54,0,0.00012896,0.00012896,0.00012896
10,414.202,1.31556,0.86461,1.10418,0,0,0,0,0,2330.16,0,7.521e-05,7.521e-05,7.521e-05
