epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9374,1.90166,4.17087,1.28824,0,0,0,0,0,266.969,0,6e-05,6e-05,6e-05
2,24.1932,1.66966,3.8113,1.14801,0,0,0,0,0,267.489,0,0.000127426,0.000127426,0.000127426
3,36.1577,1.65227,3.14687,1.09927,0,0,0,0,0,268.293,0,0.00019208,0.00019208,0.00019208
4,47.7322,1.59643,2.69993,1.10726,0,0,0,0,0,269.004,0,0.000253962,0.000253962,0.000253962
5,59.4542,1.62561,2.1373,1.10836,0,0,0,0,0,270.471,0,0.000313072,0.000313072,0.000313072
6,71.1653,1.60779,1.65476,1.13476,0,0,0,0,0,271.139,0,0.00036941,0.00036941,0.00036941
7,82.8977,1.54229,1.3651,1.13368,0,0,0,0,0,271.795,0,0.000422976,0.000422976,0.000422976
8,95.6318,1.48585,1.24054,1.09939,0,0,0,0,0,272.603,0,0.00047377,0.00047377,0.00047377
9,107.398,1.52906,1.28783,1.13145,0,0,0,0,0,274.769,0,0.000521792,0.000521792,0.000521792
10,119.181,1.51208,1.12409,1.10321,0,0,0,0,0,277.99,0,0.000567042,0.000567042,0.000567042
11,131.408,1.44444,1.07992,1.06572,0,0,0,0,0,286.236,0,0.00060952,0.00060952,0.00060952
12,143.329,1.41663,1.02467,1.04814,0,0,0,0,0,315.349,0,0.000649226,0.000649226,0.000649226
13,155.081,1.41401,1.04656,1.06532,0,0,0,0,0,325.671,0,0.00068616,0.00068616,0.00068616
14,167.759,1.42075,0.99287,1.03185,0,0,0,0,0,357.098,0,0.000720322,0.000720322,0.000720322
15,179.57,1.48445,1.04758,1.05976,0,0,0,0,0,415.923,0,0.0007228,0.0007228,0.0007228
16,191.455,1.3935,0.99834,1.05504,0,0,0,0,0,575.799,0,0.000703,0.000703,0.000703
17,203.896,1.44109,1.00525,1.05376,0,0,0,0,0,633.451,0,0.0006832,0.0006832,0.0006832
18,215.887,1.37657,0.96345,1.04376,0,0,0,0,0,753.826,0,0.0006634,0.0006634,0.0006634
19,227.745,1.37019,0.9301,1.01454,0,0,0,0,0,889.314,0,0.0006436,0.0006436,0.0006436
20,240.089,1.37221,0.93574,1.04744,0,0,0,0,0,934.139,0,0.0006238,0.0006238,0.0006238
21,251.876,1.30173,0.90997,1.01776,0,0,0,0,0,961.68,0,0.000604,0.000604,0.000604
22,264.322,1.35246,0.89249,1.01977,0,0,0,0,0,1205.94,0,0.0005842,0.0005842,0.0005842
23,276.298,1.32027,0.90128,1.02977,0,0,0,0,0,1466.71,0,0.0005644,0.0005644,0.0005644
24,288.057,1.2226,0.85444,0.98799,0,0,0,0,0,1444.04,0,0.0005446,0.0005446,0.0005446
25,300.215,1.34377,0.86505,1.01716,0,0,0,0,0,1391.83,0,0.0005248,0.0005248,0.0005248
26,312.076,1.26045,0.85321,1.00825,0,0,0,0,0,1455.7,0,0.000505,0.000505,0.000505
27,323.877,1.20006,0.84737,1.00101,0,0,0,0,0,1651.5,0,0.0004852,0.0004852,0.0004852
28,336.845,1.29129,0.83361,0.99559,0,0,0,0,0,1621.86,0,0.0004654,0.0004654,0.0004654
29,348.606,1.27465,0.82614,0.98826,0,0,0,0,0,1585.72,0,0.0004456,0.0004456,0.0004456
30,360.581,1.30368,0.83463,0.97077,0,0,0,0,0,1682.8,0,0.0004258,0.0004258,0.0004258
31,372.415,1.2788,0.83168,0.98631,0,0,0,0,0,1787.49,0,0.000406,0.000406,0.000406
32,384.332,1.28763,0.83604,1.00105,0,0,0,0,0,1642.81,0,0.0003862,0.0003862,0.0003862
33,396.656,1.24871,0.79852,0.98256,0,0,0,0,0,1562.21,0,0.0003664,0.0003664,0.0003664
34,408.579,1.26948,0.82656,0.9847,0,0,0,0,0,1638.2,0,0.0003466,0.0003466,0.0003466
35,420.407,1.23608,0.81034,0.99474,0,0,0,0,0,1839.35,0,0.0003268,0.0003268,0.0003268
36,432.237,1.21676,0.79242,0.97707,0,0,0,0,0,1998.05,0,0.000307,0.000307,0.000307
37,444.076,1.17472,0.79786,0.97537,0,0,0,0,0,2097.23,0,0.0002872,0.0002872,0.0002872
38,455.986,1.15855,0.76724,0.97582,0,0,0,0,0,2104.79,0,0.0002674,0.0002674,0.0002674
39,468.263,1.19063,0.75942,0.95582,0,0,0,0,0,2118.35,0,0.0002476,0.0002476,0.0002476
40,480.186,1.27281,0.78167,0.98016,0,0,0,0,0,2342.97,0,0.0002278,0.0002278,0.0002278
41,491.904,1.20332,0.85488,0.97876,0,0,0,0,0,2412.83,0,0.000208,0.000208,0.000208
42,503.589,1.16271,0.79862,0.96693,0,0,0,0,0,2187.23,0,0.0001882,0.0001882,0.0001882
43,515.734,1.15903,0.76605,0.973,0,0,0,0,0,1838.25,0,0.0001684,0.0001684,0.0001684
44,527.287,1.18661,0.79583,0.98554,0,0,0,0,0,1792.48,0,0.0001486,0.0001486,0.0001486
45,539.106,1.16863,0.82819,0.96507,0,0,0,0,0,1826.65,0,0.0001288,0.0001288,0.0001288
46,550.808,1.11482,0.74818,0.95106,0,0,0,0,0,1928.66,0,0.000109,0.000109,0.000109
47,562.392,1.19927,0.77025,0.97527,0,0,0,0,0,2016.51,0,8.92e-05,8.92e-05,8.92e-05
48,574.432,1.14973,0.76166,0.96853,0,0,0,0,0,2177.06,0,6.94e-05,6.94e-05,6.94e-05
49,585.986,1.16783,0.76027,0.96502,0,0,0,0,0,2255.7,0,4.96e-05,4.96e-05,4.96e-05
50,597.578,1.07051,0.71746,0.95157,0,0,0,0,0,2344.34,0,2.98e-05,2.98e-05,2.98e-05
