epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6389,1.74419,4.01786,1.26046,0,0,0,0,0,1136.5,0,6e-05,6e-05,6e-05
2,40.8172,1.49257,1.61057,1.08741,0,0,0,0,0,11620.4,0,0.000126783,0.000126783,0.000126783
3,61.5906,1.48809,1.13438,1.07276,0,0,0,0,0,6084.6,0,0.0001901,0.0001901,0.0001901
4,82.6497,1.45059,1.01575,1.06032,0,0,0,0,0,5458.52,0,0.000249953,0.000249953,0.000249953
5,102.869,1.41199,0.91418,1.05129,0,0,0,0,0,4772.96,0,0.00030634,0.00030634,0.00030634
6,123.401,1.37031,0.85992,1.06352,0,0,0,0,0,3183.48,0,0.000359262,0.000359262,0.000359262
7,143.943,1.41763,0.9223,1.08783,0,0,0,0,0,3630.16,0,0.00040872,0.00040872,0.00040872
8,164.594,1.32074,0.82032,1.02226,0,0,0,0,0,2436.94,0,0.000454713,0.000454713,0.000454713
9,185.464,1.41283,0.84953,1.06421,0,0,0,0,0,2301.55,0,0.00049724,0.00049724,0.00049724
10,205.78,1.30808,0.76873,1.02027,0,0,0,0,0,2190.18,0,0.000536303,0.000536303,0.000536303
11,227.152,1.31299,0.74409,1.00646,0,0,0,0,0,2408.78,0,0.0005719,0.0005719,0.0005719
12,247.839,1.27675,0.7132,0.99975,0,0,0,0,0,2640.59,0,0.000604033,0.000604033,0.000604033
13,268.656,1.27104,0.72617,1.00743,0,0,0,0,0,1948.58,0,0.0006327,0.0006327,0.0006327
14,288.958,1.27424,0.70071,0.98549,0,0,0,0,0,2654.84,0,0.000657903,0.000657903,0.000657903
15,309.072,1.29979,0.69636,1.00596,0,0,0,0,0,2118.41,0,0.0006535,0.0006535,0.0006535
16,330.133,1.26831,0.69096,0.99618,0,0,0,0,0,2616.93,0,0.00062875,0.00062875,0.00062875
17,350.668,1.27676,0.68428,0.99607,0,0,0,0,0,2682.02,0,0.000604,0.000604,0.000604
18,372.085,1.2487,0.6831,0.99407,0,0,0,0,0,2635.35,0,0.00057925,0.00057925,0.00057925
19,392.865,1.22865,0.66424,0.97739,0,0,0,0,0,2399.58,0,0.0005545,0.0005545,0.0005545
20,413.493,1.23602,0.65308,1.00382,0,0,0,0,0,2286.05,0,0.00052975,0.00052975,0.00052975
21,434.553,1.22543,0.63888,0.98891,0,0,0,0,0,2173.7,0,0.000505,0.000505,0.000505
22,454.756,1.24274,0.64147,0.98556,0,0,0,0,0,2382.54,0,0.00048025,0.00048025,0.00048025
23,475.764,1.21163,0.63475,0.98381,0,0,0,0,0,2543.37,0,0.0004555,0.0004555,0.0004555
24,496.029,1.15076,0.60596,0.96011,0,0,0,0,0,2222.59,0,0.00043075,0.00043075,0.00043075
25,516.03,1.20926,0.62918,0.97967,0,0,0,0,0,2345.77,0,0.000406,0.000406,0.000406
26,537.175,1.14045,0.61016,0.97547,0,0,0,0,0,2216.83,0,0.00038125,0.00038125,0.00038125
27,558.325,1.1043,0.59605,0.96497,0,0,0,0,0,2287.96,0,0.0003565,0.0003565,0.0003565
28,578.656,1.1458,0.59955,0.95491,0,0,0,0,0,2622.07,0,0.00033175,0.00033175,0.00033175
29,598.951,1.14072,0.59179,0.95648,0,0,0,0,0,2427.58,0,0.000307,0.000307,0.000307
30,620.161,1.16914,0.60099,0.93782,0,0,0,0,0,2266.84,0,0.00028225,0.00028225,0.00028225
31,640.695,1.14889,0.61767,0.97636,0,0,0,0,0,2287.2,0,0.0002575,0.0002575,0.0002575
32,661.25,1.12684,0.57714,0.94752,0,0,0,0,0,2022.19,0,0.00023275,0.00023275,0.00023275
33,682.004,1.08777,0.55615,0.93874,0,0,0,0,0,2049.74,0,0.000208,0.000208,0.000208
34,702.646,1.0458,0.53306,0.9311,0,0,0,0,0,2470.75,0,0.00018325,0.00018325,0.00018325
35,722.368,1.06848,0.54787,0.96908,0,0,0,0,0,2654.91,0,0.0001585,0.0001585,0.0001585
36,742.42,1.08489,0.54887,0.9588,0,0,0,0,0,2364.41,0,0.00013375,0.00013375,0.00013375
37,763.152,1.11481,0.54819,0.95343,0,0,0,0,0,2231.34,0,0.000109,0.000109,0.000109
38,783.932,1.00404,0.51647,0.92278,0,0,0,0,0,2174.9,0,8.425e-05,8.425e-05,8.425e-05
39,804.259,1.0303,0.52073,0.92344,0,0,0,0,0,2303.37,0,5.95e-05,5.95e-05,5.95e-05
40,824.831,0.98478,0.50911,0.9174,0,0,0,0,0,2451.13,0,3.475e-05,3.475e-05,3.475e-05
