model,train1,train2,train3,train4
yolo11l.pt,42.632760,55.052555,60.979482,84.070803
yolo11m.pt,34.526006,43.716780,48.312764,66.749652
yolo11n.pt,7.454841,8.813573,9.428425,12.021393
yolo11s.pt,15.726640,18.410388,20.752113,26.689382
yolo11x.pt,76.719833,99.278720,112.574352,176.838895
